start;end;orbit;sector;spacecraft_boresight_elat;spacecraft_boresight_elon;cam4_elat;cam4_elon;cam3_elat;cam3_elon;cam2_elat;cam2_elon;cam1_elat;cam1_elon;comment
2022-05-19;2022-06-02;102;56;54;288.1;90;288.1;66;288.1;42;288.1;18;288.1;
2022-06-02;2022-06-15;103;57;54;315.8;90;315.8;66;315.8;42;315.8;18;315.8;
2022-06-15;2022-06-29;104;57;54;315.8;90;315.8;66;315.8;42;315.8;18;315.8;
2022-06-29;2022-07-12;105;58;54;343.5;90;343.5;66;343.5;42;343.5;18;343.5;
2022-07-12;2022-07-26;106;58;54;343.5;90;343.5;66;343.5;42;343.5;18;343.5;
2022-07-26;2022-08-09;107;59;54;11.2;90;11.2;66;11.2;42;11.2;18;11.2;
2022-08-09;2022-08-22;108;59;54;11.2;90;11.2;66;11.2;42;11.2;18;11.2;
2022-08-22;2022-09-05;109;60;54;38.9;90;38.9;66;38.9;42;38.9;18;38.9;
2022-09-05;2022-09-19;110;60;54;38.9;90;38.9;66;38.9;42;38.9;18;38.9;
2022-09-19;2022-10-02;111;61;54;66.6;90;66.6;66;66.6;42;66.6;18;66.6;
2022-10-02;2022-10-16;112;61;54;66.6;90;66.6;66;66.6;42;66.6;18;66.6;
2022-10-16;2022-10-30;113;62;54;94.3;90;94.3;66;94.3;42;94.3;18;94.3;end FY2022 is Sep 30, 2022. orbit 62 is last orbit of ExtMission1.
2022-10-30;2022-11-12;114;63;54;94.3;90;94.3;66;94.3;42;94.3;18;94.3;
